"GeneID","N2.Mean_N","WDR5.Mean_N","Fold.Change_Log2","P.Value","Chrom.No","start","end","strand"
1,12695.30964,8410.649013,-0.594006547,0.06270323,"I",5107844,5110167,"plus"
2,6628.586901,12339.33296,0.896491156,0.002492447,"IV",9598960,9601678,"minus"
3,5186.497855,7329.211745,0.498897347,0.16102924,"V",9244379,9246337,"minus"
4,45769.51478,48767.32873,0.091527953,0.867102392,"X",2554222,2557718,"plus"
5,805.2786097,871.102743,0.113354877,0.750532068,"IV",6272543,6275702,"minus"
6,507.7337666,1930.345727,1.926715145,5.9e-07,"I",2571778,2576024,"minus"
7,16.26903488,220.588671,3.761158125,1.78e-07,"V",11466824,11470645,"minus"
9,35.36225256,164.4352165,2.217237227,4.09e-05,"IV",3862123,3865024,"minus"
10,14589.20525,8016.303764,-0.863892211,0.014803777,"I",11388738,11396651,"minus"
12,5.170586967,16.20393546,1.647944274,0.475328803,"I",3886114,3887083,"minus"
16,3.594455322,16.61158156,2.20834436,0.1930983,"X",12792779,12793316,"plus"
17,14.90326882,38.4621872,1.367812005,0.173456568,"X",12794107,12794803,"plus"
18,37204.92426,35734.16251,-0.058189605,0.540844009,"X",10605769,10624122,"minus"
19,155.632863,99.3527986,-0.647514216,0.280399113,"IV",10206171,10214889,"minus"
20,4513.247016,3740.791434,-0.27082221,0.247986433,"I",2255925,2272868,"minus"
22,361.7919356,767.7795881,1.085531955,0.006351904,"V",323778,330728,"minus"
23,841.3786031,653.2118772,-0.365204106,0.208901809,"I",12011267,12018659,"plus"
24,13.96190972,75.9173962,2.442934224,0.0299458,"V",10380316,10381800,"minus"
29,22.89135321,92.13625182,2.00896616,0.136073426,"V",5160587,5161877,"minus"
30,56.05476724,327.4914587,2.546548301,0.037242646,"V",5163380,5164743,"minus"
31,327.4938151,2010.478126,2.617999074,0.078065667,"V",5192977,5194592,"minus"
33,50.84847155,467.2162924,3.19981427,0.025152995,"X",3798163,3799725,"plus"
34,337.2081679,1524.114681,2.176260074,0.106754025,"II",192531,194558,"minus"
35,1173.307962,2970.287311,1.340020756,0.000802856,"X",16367157,16373965,"plus"
36,3226.795942,6265.594545,0.957349067,0.001432128,"I",3301518,3307467,"minus"
37,3323.18839,7470.921048,1.168718035,1.17e-05,"II",14205558,14210105,"plus"
38,249.2572001,622.9067953,1.321381132,0.000916694,"II",14197971,14205250,"plus"
39,32443.38666,67274.4308,1.052133854,5.1e-05,"X",5092250,5097042,"minus"
40,67819.53496,47210.36497,-0.522597256,0.074307149,"X",11339808,11343504,"plus"
41,28455.97713,40558.20269,0.511262002,0.020456934,"III",7973652,7977260,"plus"
42,31.87784417,256.1750822,3.006504182,7.59e-07,"X",6702653,6709263,"plus"
43,18.1183487,145.9143811,3.009598701,1.11e-05,"X",6709499,6712887,"plus"
44,74.30397403,147.5311422,0.989508245,0.180368463,"III",6509646,6514715,"minus"
45,15.19981069,47.99523305,1.658837767,0.141914291,"I",4359117,4362549,"plus"
46,597.2365022,867.2896677,0.538211579,0.24977346,"II",7845610,7849745,"minus"
47,573.6472647,2944.281303,2.359679714,0.000230645,"X",10412703,10416596,"plus"
48,81.5635968,703.5148352,3.108583544,8.19e-12,"X",13642278,13646828,"minus"
49,33.71869568,122.4306213,1.860343802,0.003578711,"X",4023291,4025561,"plus"
50,100.5179221,352.6375867,1.810733502,0.000113452,"I",6621629,6624895,"minus"
51,311.3987439,975.7841832,1.647798973,0.004030388,"X",13532851,13536324,"plus"
53,59.7114785,245.8126656,2.041479057,0.000340954,"II",8174793,8177143,"minus"
54,229.259931,659.6540542,1.524725393,1.5e-05,"V",8552673,8555366,"plus"
55,778.6411091,1213.804191,0.640505287,0.027181913,"V",8561194,8564298,"plus"
56,237.5198261,135.4118038,-0.810694439,0.122286053,"V",2608654,2615245,"plus"
57,42.22927377,137.2963246,1.700977663,0.001356437,"V",15551136,15559128,"minus"
58,134.2763912,398.5437845,1.569532561,0.003664245,"I",9031267,9036688,"minus"
59,119.7362062,423.3751678,1.822077188,3.7e-06,"II",14373755,14377814,"minus"
60,42.18204343,56.31612248,0.416919018,0.72225645,"III",6583458,6585564,"plus"
61,88.84229318,146.0372491,0.717017861,0.444027294,"X",7503778,7506588,"minus"
62,21.03375498,105.213778,2.322545311,0.000868091,"V",3651647,3659486,"minus"
63,86217.79744,75318.84295,-0.19497487,0.78824239,"V",11079149,11082479,"plus"
64,207041.0412,117285.4176,-0.819893128,0.022263165,"V",11076719,11078150,"minus"
65,175955.7012,150117.9435,-0.229115829,0.623760086,"V",11071666,11074480,"minus"
66,262417.8904,332649.4345,0.342136502,0.151161572,"X",4960522,4964388,"plus"
67,12223.27811,21468.25628,0.812573769,0.052439957,"III",13604238,13605967,"minus"
68,4466.062499,9293.838962,1.057271206,0.000940563,"III",4722177,4730835,"plus"
69,137.2075058,511.9660719,1.899688801,1.1e-05,"V",5976012,5981496,"plus"
70,4491.246589,7980.495562,0.829362401,0.007062812,"III",3774871,3786718,"minus"
71,668.8065177,1121.751275,0.746092012,0.110022412,"V",5624707,5630876,"minus"
72,753.7276179,1595.432698,1.081832589,0.000704927,"X",4854035,4860006,"minus"
73,4661.702721,4847.447654,0.056368313,0.882741277,"V",12009532,12013586,"minus"
74,6833.860641,7464.310216,0.127308118,0.647255658,"X",13687903,13695721,"plus"
75,3983.784106,1656.37,-1.266114487,3.78e-05,"X",7794993,7798236,"minus"
79,56002.63187,43615.16789,-0.360664686,0.166022242,"I",7773411,7777572,"plus"
80,25865.51019,18195.61349,-0.507438954,0.127260644,"III",7230902,7232822,"minus"
81,6393.101356,10772.22315,0.752728149,0.009325449,"III",295646,298555,"minus"
82,1828.859906,4650.664673,1.346492355,6.17e-06,"X",12678760,12689207,"plus"
83,2018.182937,4200.02497,1.057340952,0.011235427,"X",7585539,7595441,"plus"
84,70.48847552,300.4364635,2.091600612,1.64e-05,"I",7602307,7608241,"plus"
85,48.82049203,249.8863789,2.355713523,3.25e-06,"X",9650942,9653059,"minus"
