"GeneID","N2.Mean_N","WDR5.Mean_N","Fold.Change_Log2","P.Value.Ad","Chrom.No","start","end","strand","gene_name","description"
1,6973.886538,6158.428624,-0.17891671,1,"I",5107847,5109950,0,"aap-1","Caenorhabditis elegans Protein AAP-1 (aap-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059121]"
2,85.94583626,145.0282728,0.76580928,1,"IV",9599417,9601677,0,"aat-1","Caenorhabditis elegans Protein AAT-1 (aat-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069306]"
3,142.8088073,263.8138056,0.890593716,0.428574687,"V",9244657,9246329,0,"aat-2","Caenorhabditis elegans Protein AAT-2 (aat-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072993]"
4,633.3502241,630.0238545,-0.008292937,1,"X",2554231,2557468,0,"aat-3","Caenorhabditis elegans Protein AAT-3 (aat-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076060]"
5,283.1553055,213.7476444,-0.400644355,1,"IV",6272733,6275702,0,"aat-4","Caenorhabditis elegans Protein AAT-4 (aat-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001028211]"
6,28.08802434,40.15556005,0.513915624,1,"I",2571990,2576008,0,"aat-5","Caenorhabditis elegans Protein AAT-5, isoform a. [Source:RefSeq mRNA;Acc:NM_058601]"
7,526.1892717,413.3038001,-0.344196091,1,"V",11466952,11470580,0,"aat-6","Caenorhabditis elegans Protein AAT-6, isoform b (aat-6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001129542]"
8,21.12877548,9.727981597,-1.197123937,1,"II",1386895,1391574,0,"aat-7","Caenorhabditis elegans Protein AAT-7 (aat-7) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_061559]"
9,7.571827646,6.117065661,-0.337883162,1,"IV",3862123,3865024,0,"aat-8","Caenorhabditis elegans Protein AAT-8 (aat-8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_068024]"
10,2535.422624,2174.51673,-0.222505682,1,"I",11389132,11396649,0,"aat-9","Caenorhabditis elegans Protein AAT-9, isoform a (aat-9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001026617]"
12,37.45405399,43.75147049,0.181921883,1,"I",3886114,3887083,0,"abf-1","Caenorhabditis elegans Protein ABF-1 (abf-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058852]"
13,3.871606372,135.1061266,5.000252466,3.12e-17,"I",3885634,3885891,0,"abf-2","Caenorhabditis elegans Protein ABF-2 (abf-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058851]"
15,0.449219302,3.09491434,3.163041149,0.948646864,"V",20557914,20558339,0,"abf-4","Caenorhabditis elegans Protein ABF-4 (abf-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_075564]"
