"GeneID","N2.Mean_N","WDR5.Mean_N","Fold.Change_Log2","P.Value.Ad","Chrom.No","start","end","strand"
1,13551.00192,13066.1107,-0.052569756,1,"I",5107844,5110167,"plus"
2,7103.314644,7314.339611,0.042235222,1,"IV",9598960,9601678,"minus"
3,5562.250149,3820.848655,-0.541775515,0.284093431,"V",9244379,9246337,"minus"
4,49077.11134,43844.86934,-0.162642304,0.770281855,"X",2554222,2557718,"plus"
5,862.5827733,845.1949058,-0.029378832,1,"IV",6272543,6275702,"minus"
6,539.0270381,1252.739517,1.216656919,0.006295169,"I",2571778,2576024,"minus"
7,17.11376148,133.0480458,2.958718527,0.00050153,"V",11466824,11470645,"minus"
8,2.074003114,13.04060149,2.652520449,0.442913112,"II",1386895,1391574,"plus"
9,37.72234971,36.91140322,-0.03135296,0.991745846,"IV",3862123,3865024,"minus"
10,15502.26559,16174.9652,0.061283533,1,"I",11388738,11396651,"minus"
12,5.488506392,15.65331111,1.511982358,0.642715438,"I",3886114,3887083,"minus"
17,15.72065926,24.02249763,0.611724437,0.726811342,"X",12794107,12794803,"plus"
18,39895.5464,38635.68074,-0.046293887,0.886479427,"X",10605769,10624122,"minus"
19,167.2745613,159.6788588,-0.067044745,0.940671701,"IV",10206171,10214889,"minus"
20,4822.736536,7490.827705,0.635273141,0.279078823,"I",2255925,2272868,"minus"
22,387.8190725,494.8850791,0.35170979,0.800494429,"V",323778,330728,"minus"
23,906.694257,1458.757233,0.686051758,0.813018095,"I",12011267,12018659,"plus"
24,14.61063524,78.23540903,2.420802808,0.059281111,"V",10380316,10381800,"minus"
27,3.573667604,10.45262944,1.548388552,0.793262802,"V",2274881,2275976,"plus"
29,23.83114414,56.83039078,1.253814418,0.384146225,"V",5160587,5161877,"minus"
30,58.50773369,199.0979363,1.766779026,0.196724481,"V",5163380,5164743,"minus"
31,340.6792583,1206.256519,1.82405072,0.256381467,"V",5192977,5194592,"minus"
32,7.992337606,14.45680533,0.85505935,0.769873835,"X",8322059,8323291,"plus"
33,52.97327307,276.1912402,2.382331007,0.146275438,"X",3798163,3799725,"plus"
34,351.393437,1179.998828,1.747626275,0.239213739,"II",192531,194558,"minus"
35,1244.692051,1411.250006,0.181184737,0.633137551,"X",16367157,16373965,"plus"
36,3455.440891,4343.377816,0.329947653,0.745354347,"I",3301518,3307467,"minus"
37,3536.176756,5109.589969,0.531017134,0.180480547,"II",14205558,14210105,"plus"
38,267.7312846,302.9002991,0.178057274,1,"II",14197971,14205250,"plus"
39,34574.53917,44440.32544,0.362159359,0.420226885,"X",5092250,5097042,"minus"
40,72942.14885,67977.7144,-0.101690846,0.812868811,"X",11339808,11343504,"plus"
41,30330.91974,37570.35088,0.308805344,0.574963035,"III",7973652,7977260,"plus"
42,33.87907579,209.7166631,2.629975072,0.000226949,"X",6702653,6709263,"plus"
43,19.24819639,84.60709609,2.136055401,0.049327298,"X",6709499,6712887,"plus"
44,80.12169142,150.0860944,0.905525533,0.596723354,"III",6509646,6514715,"minus"
45,16.22280485,13.4836718,-0.26680986,1,"I",4359117,4362549,"plus"
46,641.8167481,624.3094153,-0.039900214,1,"II",7845610,7849745,"minus"
47,605.4539957,1668.477774,1.46244322,0.050798773,"X",10412703,10416596,"plus"
48,86.4275306,401.1153952,2.214454493,8.43e-06,"X",13642278,13646828,"minus"
49,36.00409477,58.8574313,0.709063586,0.666416065,"X",4023291,4025561,"plus"
50,108.4271246,167.6693239,0.62889305,0.792495852,"I",6621629,6624895,"minus"
51,331.2603783,460.94473,0.476628119,0.649080576,"X",13532851,13536324,"plus"
53,64.15277927,104.307814,0.701263565,0.750754431,"II",8174793,8177143,"minus"
54,244.7158144,304.7024839,0.316293925,0.757165155,"V",8552673,8555366,"plus"
55,830.8838007,1295.178495,0.640432302,0.26715142,"V",8561194,8564298,"plus"
56,253.581757,356.9081589,0.493101922,0.677552166,"V",2608654,2615245,"plus"
57,45.17353601,221.436755,2.293344955,0.001709652,"V",15551136,15559128,"minus"
58,144.8954167,363.3054679,1.326171118,0.191876616,"I",9031267,9036688,"minus"
59,127.8826604,980.6187589,2.938871697,8.65e-13,"II",14373755,14377814,"minus"
60,45.32587627,55.97272934,0.304389187,0.98616491,"III",6583458,6585564,"plus"
61,96.51179103,43.43416672,-1.15187485,0.642801113,"X",7503778,7506588,"minus"
62,22.16667317,72.1615812,1.702838688,0.089771499,"V",3651647,3659486,"minus"
63,91481.23642,100797.3021,0.139909255,0.753677275,"V",11079149,11082479,"plus"
64,220624.9599,209524.8281,-0.074474807,1,"V",11076719,11078150,"minus"
65,186705.8342,208628.4708,0.160169042,0.759237308,"V",11071666,11074480,"minus"
66,279803.6534,289368.0187,0.048490682,0.944856872,"X",4960522,4964388,"plus"
67,12948.29509,14842.52711,0.196974599,0.619218688,"III",13604238,13605967,"minus"
68,4743.205414,6442.569714,0.441773895,0.219787685,"III",4722177,4730835,"plus"
69,146.8772625,271.4327192,0.885983562,0.336101907,"V",5976012,5981496,"plus"
70,4812.881842,5118.020746,0.08868499,1,"III",3774871,3786718,"minus"
71,720.3484737,755.7509694,0.069215935,1,"V",5624707,5630876,"minus"
72,805.3998409,1034.396208,0.361011799,0.648580792,"X",4854035,4860006,"minus"
73,4981.246625,5680.130615,0.189417263,0.87249077,"V",12009532,12013586,"minus"
74,7287.972222,6203.216841,-0.232500903,0.9145098,"X",13687903,13695721,"plus"
75,4266.308093,3203.648847,-0.413272132,0.471257586,"X",7794993,7798236,"minus"
79,60124.26103,58064.16664,-0.050299155,0.82521763,"I",7773411,7777572,"plus"
80,27607.65629,27719.89857,0.005853561,1,"III",7230902,7232822,"minus"
81,6859.097233,8880.223323,0.372577251,0.753236456,"III",295646,298555,"minus"
82,1954.947009,2872.986444,0.555421683,0.360074457,"X",12678760,12689207,"plus"
83,2173.161829,2776.682998,0.353566868,0.916778286,"X",7585539,7595441,"plus"
84,75.04982107,237.5484947,1.662301527,0.012982826,"I",7602307,7608241,"plus"
85,51.76564664,144.1740788,1.477744903,0.066866835,"X",9650942,9653059,"minus"
86,5352.576227,5878.098903,0.135116197,0.85448561,"X",751210,759731,"minus"
88,49.65092716,108.364794,1.12600356,0.243787071,"I",14850059,14855779,"minus"
89,429.3960298,1035.746142,1.27028969,0.003796182,"I",13543021,13545179,"minus"
90,10473.01292,9924.842838,-0.077560381,0.825561009,"II",11519435,11526998,"minus"
92,22223.24543,17970.86585,-0.306409599,0.668441924,"X",5289691,5298008,"minus"
93,3039.446493,2828.399389,-0.103822769,1,"IV",13368435,13369396,"minus"
94,7444.309065,6310.127476,-0.238468802,1,"II",5371789,5373404,"minus"
95,12608.55147,12504.82602,-0.011917556,0.990341088,"I",10193916,10196990,"minus"
96,1718.240986,2256.791809,0.393340944,0.466722876,"I",9522570,9531122,"plus"
97,11124.08397,8418.767326,-0.402005625,0.710873738,"V",14012318,14013629,"plus"
98,32858.72133,26373.22286,-0.317202458,0.601492516,"V",8221390,8223567,"plus"
99,34189.04229,28698.37492,-0.252564966,0.78530062,"I",5937479,5938887,"plus"
100,94696.57251,98446.83956,0.056032683,0.883706818,"X",9092226,9113562,"plus"
101,34889.55869,29659.22581,-0.23431441,0.755832843,"II",7472685,7478914,"minus"
102,32233.21339,29298.73409,-0.137709689,1,"V",10248880,10252870,"plus"
103,3784.700791,2258.994588,-0.744498435,0.390153925,"X",14147631,14152013,"plus"
105,107819.746,93905.27975,-0.199343237,0.992221014,"X",13949073,13956187,"plus"
106,125118.5094,130042.0707,0.055683204,1,"II",873183,878961,"plus"
107,10843.2689,10371.73009,-0.064143182,0.910690391,"III",5077725,5080636,"plus"
109,15828.59546,19567.66662,0.305938485,0.842623699,"IV",11022580,11025851,"plus"
110,9139.928704,9988.983985,0.128155032,1,"V",6427194,6429910,"minus"
111,1057.895756,1026.752389,-0.043109168,0.9145098,"V",1996108,1999580,"minus"
112,11083.9679,10774.68216,-0.040829126,0.998708455,"II",1306247,1310140,"minus"
113,6198.098004,5592.343718,-0.148372532,0.803936441,"II",13487125,13491718,"minus"
114,45125.56246,43798.98304,-0.043047542,1,"II",11728886,11731163,"plus"
115,22063.30971,20480.6763,-0.107385869,0.800550786,"III",5855994,5859141,"plus"
116,5359.4556,4844.850167,-0.145634413,0.764691482,"X",7140459,7143598,"minus"
117,6345.178566,5809.012878,-0.127367737,0.820123899,"III",774319,778867,"minus"
118,7006.584802,5800.696542,-0.272485259,0.583453767,"III",7453947,7455917,"plus"
120,75380.17478,75990.92168,0.011641936,1,"IV",9108916,9109736,"plus"
121,85092.58388,82369.19728,-0.046928472,1,"IV",9147452,9148568,"plus"
122,141534.803,129420.7686,-0.129087702,1,"IV",12123133,12125162,"plus"
123,96334.44318,103509.526,0.103639932,1,"IV",4248061,4258166,"plus"
133,4.17472197,13.27758765,1.669241028,0.779492375,"X",4571422,4573888,"plus"
134,57.77530907,123.8551422,1.10012879,0.327101773,"IV",13042367,13046834,"plus"
