"GeneID","N2.Mean_N","WDR5.Mean_N","Fold.Change_Log2","P.Value","Chrom.No","start","end","strand","gene_name","description"
1,7877.325875,5280.464365,-0.577081791,0.53364332,"I",5107847,5109950,0,"aap-1","Caenorhabditis elegans Protein AAP-1 (aap-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059121]"
2,97.0363785,98.1991308,0.020999435,1,"IV",9599417,9601677,0,"aat-1","Caenorhabditis elegans Protein AAT-1 (aat-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069306]"
3,161.370273,213.5501629,0.403465839,1,"V",9244657,9246329,0,"aat-2","Caenorhabditis elegans Protein AAT-2 (aat-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072993]"
4,715.4267271,582.4822281,-0.298213605,1,"X",2554231,2557468,0,"aat-3","Caenorhabditis elegans Protein AAT-3 (aat-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076060]"
5,319.9926483,429.9270666,0.425058879,1,"IV",6272733,6275702,0,"aat-4","Caenorhabditis elegans Protein AAT-4 (aat-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001028211]"
6,31.69854451,97.97887688,1.635889243,0.003091411,"I",2571990,2576008,0,"aat-5","Caenorhabditis elegans Protein AAT-5, isoform a. [Source:RefSeq mRNA;Acc:NM_058601]"
7,594.368339,726.3887982,0.289718931,1,"V",11466952,11470580,0,"aat-6","Caenorhabditis elegans Protein AAT-6, isoform b (aat-6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001129542]"
8,23.86741075,26.089663,0.1210297,1,"II",1386895,1391574,0,"aat-7","Caenorhabditis elegans Protein AAT-7 (aat-7) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_061559]"
9,8.61008853,12.0982297,0.420729192,1,"IV",3862123,3865024,0,"aat-8","Caenorhabditis elegans Protein AAT-8 (aat-8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_068024]"
10,2862.69461,1889.606136,-0.599387349,0.436893265,"I",11389132,11396649,0,"aat-9","Caenorhabditis elegans Protein AAT-9, isoform a (aat-9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001026617]"
12,42.33677629,18.67951362,-1.20457266,0.118504059,"I",3886114,3887083,0,"abf-1","Caenorhabditis elegans Protein ABF-1 (abf-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058852]"
13,4.396420076,126.748321,4.744253233,2.77e-15,"I",3885634,3885891,0,"abf-2","Caenorhabditis elegans Protein ABF-2 (abf-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058851]"
15,0.49892969,40.5409895,6.760640328,3.06e-05,"V",20557914,20558339,0,"abf-4","Caenorhabditis elegans Protein ABF-4 (abf-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_075564]"
16,36.89364039,91.42526307,1.288358932,0.016349897,"X",12792794,12793237,0,"abf-5","Caenorhabditis elegans Protein ABF-5 (abf-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077735]"
17,6.778777257,92.8967131,3.851544347,0.00031405,"X",12794107,12794745,0,"abf-6","Caenorhabditis elegans Protein ABF-6 (abf-6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_171787]"
18,616.701604,899.7082744,0.548558977,0.836264573,"X",10606136,10624083,0,"abl-1","Caenorhabditis elegans Protein ABL-1, isoform b (abl-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077376]"
19,32.79317137,41.05903954,0.350525385,1,"IV",10206209,10214889,0,"abt-1","Caenorhabditis elegans Protein ABT-1 (abt-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069464]"
20,339.641605,593.9426583,0.807824443,0.167154347,"I",2256154,2272868,0,"abt-2","Caenorhabditis elegans Protein ABT-2 (abt-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058548]"
22,1868.996143,2687.155179,0.523847764,0.854815894,"V",323911,330725,0,"abt-4","Caenorhabditis elegans Protein ABT-4 (abt-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_070774]"
23,9.001430168,32.97956286,1.830430786,0.014254302,"I",12011267,12018630,0,"abt-5","Caenorhabditis elegans Protein ABT-5 (abt-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_060640]"
24,2.787339735,7.604228504,1.52051611,0.239171468,"V",10380403,10381762,0,"abu-1","Caenorhabditis elegans Protein ABU-1 (abu-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073266]"
25,0,1.351909789,5.034870993,0.172934507,"X",1408831,1410647,0,"abu-2","Caenorhabditis elegans Protein ABU-2 (abu-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_075864]"
